id,AVG,G,AB,R,H,2B,3B,HR,RBI,SB,team,year,name,position,HT,WT,Bats,Throws,DOB,Birth_location
3,.302,90,325,44,98,22,2,11,40,3,expos,97,vladimir guerrero,outfield,"Ht: 6°2""", 200, R, R,2/9/76,"Nizao Bani, 0"
3,.324,159,623,108,202,37,7,38,109,11,expos,98,vladimir guerrero,outfield,"Ht: 6°2""", 200, R, R,2/9/76,"Nizao Bani, 0"
4,.187,24,75,9,14,1,.,2,4,4,expos,85,andres galarraga,first base,"Ht: 6'3""", 235, R, R,6/18/61,Caracas  Venezuela 2
4,.271,105,321,39,87,13,0,10,42,6,expos,86,andres galarraga,first base,"Ht: 6'3""", 235, R, R,6/18/61,Caracas  Venezuela 2
4,6,.305,4147,4551,72,4168,40,93,13,9,expos,87,andres galarraga,first base,"Ht: 6'3""", 235, R, R,6/18/61,Caracas  Venezuela 2
4,.302,157,609,99,184,42,8,29,92,13,expos,88,andres galarraga,first base,"Ht: 6'3""", 235, R, R,6/18/61,Caracas  Venezuela 2
4,257,152,572,76,147,30,1,23,8,12,expos,89,andres galarraga,first base,"Ht: 6'3""", 235, R, R,6/18/61,Caracas  Venezuela 2
4,.256,155,579,65,148,29,0,20,87,10,expos,90,andres galarraga,first base,"Ht: 6'3""", 235, R, R,6/18/61,Caracas  Venezuela 2
4,.219,107,375,34,82,13,2,9,33,5,expos,91,andres galarraga,first base,"Ht: 6'3""", 235, R, R,6/18/61,Caracas  Venezuela 2
4,.243,95,325,38,79,14,2,10,39,5,cardinals,92,andres galarraga,first base,"Ht: 6'3""", 235, R, R,6/18/61,Caracas  Venezuela 2
4,.370,120,470,71,174,35,4,22,98,2,rockies,93,andres galarraga,first base,"Ht: 6'3""", 235, R, R,6/18/61,Caracas  Venezuela 2
4,.319,103,417,77,133,21,0,31,85,8,rockies,94,andres galarraga,first base,"Ht: 6'3""", 235, R, R,6/18/61,Caracas  Venezuela 2
4,.280,143,554,89,155,29,3,31,106,12,rockies,95,andres galarraga,first base,"Ht: 6'3""", 235, R, R,6/18/61,Caracas  Venezuela 2
4,.304,159,626,119,199,39,3,47,150,18,rockies,96,andres galarraga,first base,"Ht: 6'3""", 235, R, R,6/18/61,Caracas  Venezuela 2
4,.318,154,600,120,191,31,3,41,140,16,rockies,97,andres galarraga,first base,"Ht: 6'3""", 235, R, R,6/18/61,Caracas  Venezuela 2
4,.305,153,555,103,169,27,1,44,121,7,braves,98,andres galarraga,first base,"Ht: 6'3""", 235, R, R,6/18/61,Caracas  Venezuela 2
5,333,5,15,2,5,0,0,0,1,0,indians,97,enrique wilson,"c(""ss"", ""infield"")","Ht: 5°11""", 170 lbs , S, R,7/27/75,"Santo Domingo, 0"
5,322,32,90,13,2,6,0,2,2,2,indians,98,enrique wilson,"c(""ss"", ""infield"")","Ht: 5°11""", 170 lbs , S, R,7/27/75,"Santo Domingo, 0"
6,202,26,99,10,2,3,2,2,10,2,athletics,97,miguel tejada,character(0),"Ht: 5°9""", 162, R, R,5/25/76,"Bani, D "
6,.233,105,365,53,85,20,1,11,45,5,athletics,98,miguel tejada,character(0),"Ht: 5°9""", 162, R, R,5/25/76,"Bani, D "
7,.290,27,69,9,2,2,0,2,8,09,royals,97,larry sutton,character(0),"Ht: 6'0""", 185, L, L,8/14/70,"West Covina, Calif pli Gun"
7,.245,111,310,29,76,14,2,5,42,3,royals,98,larry sutton,character(0),"Ht: 6'0""", 185, L, L,8/14/70,"West Covina, Calif pli Gun"
8,.192,9,26,3,5,1,0,1,93,0,tigers,92,rico brogna,first base,"Ht: 6'2""", 200, L, L,4/18/70,"Turner Falls, Ma eee"
8,.351,39,131,16,46,1,2,7,2,1,reds,94,rico brogna,first base,"Ht: 6'2""", 200, L, L,4/18/70,"Turner Falls, Ma eee"
8,.351,39,131,16,46,1,2,7,2,1,mets,94,rico brogna,first base,"Ht: 6'2""", 200, L, L,4/18/70,"Turner Falls, Ma eee"
8,.289,134,495,72,143,27,2,22,76,0,reds,95,rico brogna,first base,"Ht: 6'2""", 200, L, L,4/18/70,"Turner Falls, Ma eee"
8,.289,134,495,72,143,27,2,22,76,0,mets,95,rico brogna,first base,"Ht: 6'2""", 200, L, L,4/18/70,"Turner Falls, Ma eee"
8,255,55,188,18,48,10,1,7,230,0,reds,96,rico brogna,first base,"Ht: 6'2""", 200, L, L,4/18/70,"Turner Falls, Ma eee"
8,255,55,188,18,48,10,1,7,230,0,mets,96,rico brogna,first base,"Ht: 6'2""", 200, L, L,4/18/70,"Turner Falls, Ma eee"
8,.252,148,543,68,137,36,1,20,81,12,phillies,97,rico brogna,first base,"Ht: 6'2""", 200, L, L,4/18/70,"Turner Falls, Ma eee"
8,.265,153,565,77,150,36,3,20,104,7,phillies,98,rico brogna,first base,"Ht: 6'2""", 200, L, L,4/18/70,"Turner Falls, Ma eee"
9,18884245,28,66,28,.,55,NA,NA,NA,NA,giants,87,matt williams,third base,"Ht: 6'2""", 210Ibs , R, R,11/28/65,"Bishop, CA "
9,.205,52,156,17,2,6,1,8,19,0,giants,88,matt williams,third base,"Ht: 6'2""", 210Ibs , R, R,11/28/65,"Bishop, CA "
9,.202,84,292,31,59,18,1,18,50,1,giants,89,matt williams,third base,"Ht: 6'2""", 210Ibs , R, R,11/28/65,"Bishop, CA "
9,.277,159,617,87,171,27,2,33,122,7,giants,90,matt williams,third base,"Ht: 6'2""", 210Ibs , R, R,11/28/65,"Bishop, CA "
9,268,157,589,72,168,24,5,34,98,5,giants,91,matt williams,third base,"Ht: 6'2""", 210Ibs , R, R,11/28/65,"Bishop, CA "
9,.227,146,529,58,120,13,5,20,66,7,giants,92,matt williams,third base,"Ht: 6'2""", 210Ibs , R, R,11/28/65,"Bishop, CA "
9,.294,145,579,105,170,33,4,38,110,1,giants,93,matt williams,third base,"Ht: 6'2""", 210Ibs , R, R,11/28/65,"Bishop, CA "
9,.267,112,445,74,119,16,3,43,96,1,giants,94,matt williams,third base,"Ht: 6'2""", 210Ibs , R, R,11/28/65,"Bishop, CA "
9,33676,282,63,85,78,5,NA,NA,NA,NA,giants,95,matt williams,third base,"Ht: 6'2""", 210Ibs , R, R,11/28/65,"Bishop, CA "
9,.302,105,404,69,122,16,1,22,8,1,giants,96,matt williams,third base,"Ht: 6'2""", 210Ibs , R, R,11/28/65,"Bishop, CA "
9,.263,151,596,86,157,32,3,32,105,12,indians,97,matt williams,third base,"Ht: 6'2""", 210Ibs , R, R,11/28/65,"Bishop, CA "
12,.207,55,193,17,40,9,4,5,2,7,cardinals,92,brian jordan,outfield,"Ht: 61""", 205Ibs , R, A,9/29/67,"Baltimore, MD"
12,.309,67,223,33,69,10,6,10,44,6,cardinals,93,brian jordan,outfield,"Ht: 61""", 205Ibs , R, A,9/29/67,"Baltimore, MD"
12,.258,53,178,14,46,8,2,5,16,4,cardinals,94,brian jordan,outfield,"Ht: 61""", 205Ibs , R, A,9/29/67,"Baltimore, MD"
12,.296,131,490,83,145,20,4,22,881,24,cardinals,95,brian jordan,outfield,"Ht: 61""", 205Ibs , R, A,9/29/67,"Baltimore, MD"
13,241,2,7,9,19,4,0,1,3,3,phillies,90,mickey morandini,"c(""ss"", ""second base"")","Ht: 571""", 180 Ibs , L, R,4/22/66,"Leechburg, PA "
13,.249,98,325,38,81,1,4,1,2,13,phillies,91,mickey morandini,"c(""ss"", ""second base"")","Ht: 571""", 180 Ibs , L, R,4/22/66,"Leechburg, PA "
13,.265,127,422,47,112,8,8,3,30,8,phillies,92,mickey morandini,"c(""ss"", ""second base"")","Ht: 571""", 180 Ibs , L, R,4/22/66,"Leechburg, PA "
13,.247,120,425,57,10,19,9,3,33,13,phillies,93,mickey morandini,"c(""ss"", ""second base"")","Ht: 571""", 180 Ibs , L, R,4/22/66,"Leechburg, PA "
13,.292,87,274,40,80,16,5,2,26,10,phillies,94,mickey morandini,"c(""ss"", ""second base"")","Ht: 571""", 180 Ibs , L, R,4/22/66,"Leechburg, PA "
13,.283,127,494,65,140,34,7,6,48,9,phillies,95,mickey morandini,"c(""ss"", ""second base"")","Ht: 571""", 180 Ibs , L, R,4/22/66,"Leechburg, PA "
13,250,140,539,64,135,24,6,3,32,28,phillies,96,mickey morandini,"c(""ss"", ""second base"")","Ht: 571""", 180 Ibs , L, R,4/22/66,"Leechburg, PA "
13,.295,150,553,83,169,40,2,1,39,16,phillies,97,mickey morandini,"c(""ss"", ""second base"")","Ht: 571""", 180 Ibs , L, R,4/22/66,"Leechburg, PA "
14,.200,12,5,1,1,0,0,0,0,0,braves,91,vinny castilla,third base,"Ht: 61""", 205lbs , R, R,7/4/67,"Oaxaca, Mexico"
14,250,9,16,71,4,1,0,0,1,0,braves,92,vinny castilla,third base,"Ht: 61""", 205lbs , R, R,7/4/67,"Oaxaca, Mexico"
14,.255,105,337,36,86,9,7,9,3,2,rockies,93,vinny castilla,third base,"Ht: 61""", 205lbs , R, R,7/4/67,"Oaxaca, Mexico"
14,.331,52,130,16,43,11,1,9,18,2,rockies,94,vinny castilla,third base,"Ht: 61""", 205lbs , R, R,7/4/67,"Oaxaca, Mexico"
14,309,139,527,82,163,34,2,32,9,2,rockies,95,vinny castilla,third base,"Ht: 61""", 205lbs , R, R,7/4/67,"Oaxaca, Mexico"
14,.304,160,629,97,191,34,0,40,113,7,rockies,96,vinny castilla,third base,"Ht: 61""", 205lbs , R, R,7/4/67,"Oaxaca, Mexico"
14,.304,159,612,94,186,25,2,40,113,2,rockies,97,vinny castilla,third base,"Ht: 61""", 205lbs , R, R,7/4/67,"Oaxaca, Mexico"
14,319,162,645,108,206,28,4,46,144,5,rockies,98,vinny castilla,third base,"Ht: 61""", 205lbs , R, R,7/4/67,"Oaxaca, Mexico"
15,.265,38,113,18,3,3,0,5,2,4,brewers,89,greg vaughn,outfield,"Ht: 6'0""", 202Ibs , R, R,7/3/65,"Sacramento, CA"
15,.220,120,382,51,8,26,2,17,6,7,brewers,90,greg vaughn,outfield,"Ht: 6'0""", 202Ibs , R, R,7/3/65,"Sacramento, CA"
15,.244,145,542,81,132,24,5,27,98,2,brewers,91,greg vaughn,outfield,"Ht: 6'0""", 202Ibs , R, R,7/3/65,"Sacramento, CA"
15,.228,141,501,77,114,18,2,23,78,15,brewers,92,greg vaughn,outfield,"Ht: 6'0""", 202Ibs , R, R,7/3/65,"Sacramento, CA"
15,.267,154,569,97,152,28,2,30,97,10,brewers,93,greg vaughn,outfield,"Ht: 6'0""", 202Ibs , R, R,7/3/65,"Sacramento, CA"
15,.254,95,370,59,94,24,1,19,55,9,brewers,94,greg vaughn,outfield,"Ht: 6'0""", 202Ibs , R, R,7/3/65,"Sacramento, CA"
15,.224,108,392,67,88,19,1,17,59,10,brewers,95,greg vaughn,outfield,"Ht: 6'0""", 202Ibs , R, R,7/3/65,"Sacramento, CA"
15,.216,120,361,60,78,102,0,18,57,7,padres,97,greg vaughn,outfield,"Ht: 6'0""", 202Ibs , R, R,7/3/65,"Sacramento, CA"
15,.272,158,573,112,156,28,4,50,119,11,padres,98,greg vaughn,outfield,"Ht: 6'0""", 202Ibs , R, R,7/3/65,"Sacramento, CA"
16,.194,33,129,15,2,4,0,4,15,1,mariners,92,bret boone,second base,NA,NA,NA,NA,NA,NA
16,.251,76,271,31,68,12,2,12,38,2,mariners,93,bret boone,second base,NA,NA,NA,NA,NA,NA
16,.320,108,381,59,122,25,2,12,68,3,reds,94,bret boone,second base,NA,NA,NA,NA,NA,NA
16,.320,108,381,59,122,25,2,12,68,3,mets,94,bret boone,second base,NA,NA,NA,NA,NA,NA
16,267,138,513,63,137,34,2,15,68,5,reds,95,bret boone,second base,NA,NA,NA,NA,NA,NA
16,267,138,513,63,137,34,2,15,68,5,mets,95,bret boone,second base,NA,NA,NA,NA,NA,NA
16,.233,142,520,56,121,21,3,12,68,39,reds,96,bret boone,second base,NA,NA,NA,NA,NA,NA
16,.233,142,520,56,121,21,3,12,68,39,mets,96,bret boone,second base,NA,NA,NA,NA,NA,NA
16,.223,139,443,40,99,2,1,7,46,5,reds,97,bret boone,second base,NA,NA,NA,NA,NA,NA
16,.223,139,443,40,99,2,1,7,46,5,mets,97,bret boone,second base,NA,NA,NA,NA,NA,NA
16,266,157,583,76,155,38,1,24,0,6,reds,98,bret boone,second base,NA,NA,NA,NA,NA,NA
16,266,157,583,76,155,38,1,24,0,6,mets,98,bret boone,second base,NA,NA,NA,NA,NA,NA
17,.299,115,395,50,118,22,3,7,68,11,brewers,87,1,outfield,"Ht: 6'1""", 200 Ibs , L, R,8/4/64,"Bronx, NY "
17,245,139,493,47,121,21,0,5,38,2,brewers,88,1,outfield,"Ht: 6'1""", 200 Ibs , L, R,8/4/64,"Bronx, NY "
17,.248,126,436,42,108,17,4,5,6,14,brewers,89,1,outfield,"Ht: 6'1""", 200 Ibs , L, R,8/4/64,"Bronx, NY "
17,.276,135,474,55,131,21,4,6,59,18,brewers,99,1,outfield,"Ht: 6'1""", 200 Ibs , L, R,8/4/64,"Bronx, NY "
17,.289,143,505,57,148,19,4,55,668,5,brewers,91,1,outfield,"Ht: 6'1""", 200 Ibs , L, R,8/4/64,"Bronx, NY "
17,.252,139,480,63,121,19,1,4,62,4,brewers,92,1,outfield,"Ht: 6'1""", 200 Ibs , L, R,8/4/64,"Bronx, NY "
17,.274,148,552,66,151,38,3,7,79,12,brewers,93,1,outfield,"Ht: 6'1""", 200 Ibs , L, R,8/4/64,"Bronx, NY "
17,.261,40,134,20,365,11,2,5,2,0,brewers,94,1,outfield,"Ht: 6'1""", 200 Ibs , L, R,8/4/64,"Bronx, NY "
17,.320,117,415,72,133,26,3,13,73,7,brewers,95,1,outfield,"Ht: 6'1""", 200 Ibs , L, R,8/4/64,"Bronx, NY "
17,.292,143,537,74,157,27,6,21,82,0,orioles,96,1,outfield,"Ht: 6'1""", 200 Ibs , L, R,8/4/64,"Bronx, NY "
17,.284,147,528,80,150,30,4,18,8,1,orioles,97,1,outfield,"Ht: 6'1""", 200 Ibs , L, R,8/4/64,"Bronx, NY "
17,.279,162,573,79,160,34,1,22,92,9,orioles,98,1,outfield,"Ht: 6'1""", 200 Ibs , L, R,8/4/64,"Bronx, NY "
18,192,9,26,4,5,00,0,2,3,90,twins,81,gary gaetti,third base,"Ht: 60""", 205Ibs , R, R,8/19/58,"Centralia, IL "
18,.230,145,508,59,117,25,4,2,4,5,twins,82,gary gaetti,third base,"Ht: 60""", 205Ibs , R, R,8/19/58,"Centralia, IL "
18,.245,157,584,81,143,90,39,21,78,7,twins,83,gary gaetti,third base,"Ht: 60""", 205Ibs , R, R,8/19/58,"Centralia, IL "
18,262,162,588,55,164,29,4,5,65,11,twins,84,gary gaetti,third base,"Ht: 60""", 205Ibs , R, R,8/19/58,"Centralia, IL "
18,246,160,560,71,138,31,00,20,6,13,twins,85,gary gaetti,third base,"Ht: 60""", 205Ibs , R, R,8/19/58,"Centralia, IL "
18,.287,157,596,91,171,34,1,34,108,14,twins,86,gary gaetti,third base,"Ht: 60""", 205Ibs , R, R,8/19/58,"Centralia, IL "
18,257,154,584,95,150,36,2,31,109,10,twins,87,gary gaetti,third base,"Ht: 60""", 205Ibs , R, R,8/19/58,"Centralia, IL "
18,301,133,468,66,141,29,2,28,8,7,twins,88,gary gaetti,third base,"Ht: 60""", 205Ibs , R, R,8/19/58,"Centralia, IL "
18,251,130,498,63,125,11,4,19,00,NA,twins,85,gary gaetti,third base,"Ht: 60""", 205Ibs , R, R,8/19/58,"Centralia, IL "
18,.229,154,577,61,132,27,5,16,8,6,twins,90,gary gaetti,third base,"Ht: 60""", 205Ibs , R, R,8/19/58,"Centralia, IL "
18,245,152,586,58,144,22,1,18,66,5,angels,91,gary gaetti,third base,"Ht: 60""", 205Ibs , R, R,8/19/58,"Centralia, IL "
18,245,152,586,58,144,22,1,18,66,5,rangers,91,gary gaetti,third base,"Ht: 60""", 205Ibs , R, R,8/19/58,"Centralia, IL "
18,.287,90,327,53,94,1,3,12,5,09,royals,94,gary gaetti,third base,"Ht: 60""", 205Ibs , R, R,8/19/58,"Centralia, IL "
18,261,137,514,7,134,27,0,35,3,NA,royals,95,gary gaetti,third base,"Ht: 60""", 205Ibs , R, R,8/19/58,"Centralia, IL "
18,.274,141,522,71,143,27,4,23,80,2,cardinals,98,gary gaetti,third base,"Ht: 60""", 205Ibs , R, R,8/19/58,"Centralia, IL "
19,143,6,7,0,1,0,0,0,0,9,dodgers,97,paul konerko,ss,"Ht: 6'3""", 211lbs , A, R,3/5/76,"Providence, R "
22,6.139,53,108,13,15,01,5,1,NA,NA,cubs,86,buck martinez,outfield,NA,NA,NA,NA,NA,NA
22,.292,142,459,70,134,18,8,8,36,16,cubs,87,buck martinez,outfield,NA,NA,NA,NA,NA,NA
22,274,126,361,41,99,16,7,3,2,28,expos,89,buck martinez,outfield,NA,NA,NA,NA,NA,NA
22,.279,118,391,60,109,13,5,1,39,13,expos,90,buck martinez,outfield,NA,NA,NA,NA,NA,NA
22,254,195,393,47,100,20,5,3,31,12,reds,92,buck martinez,outfield,NA,NA,NA,NA,NA,NA
22,254,195,393,47,100,20,5,3,31,12,mets,92,buck martinez,outfield,NA,NA,NA,NA,NA,NA
22,241,91,241,28,58,12,1,5,27,6,giants,93,buck martinez,outfield,NA,NA,NA,NA,NA,NA
22,.247,97,235,23,58,9,3,4,2,3,giants,94,buck martinez,outfield,NA,NA,NA,NA,NA,NA
22,.307,118,303,49,93,1,4,5,3,8,white sox,95,buck martinez,outfield,NA,NA,NA,NA,NA,NA
22,.318,146,440,85,140,20,8,10,53,15,white sox,96,buck martinez,outfield,NA,NA,NA,NA,NA,NA
22,286,145,504,78,144,16,6,12,55,12,white sox,97,buck martinez,outfield,NA,NA,NA,NA,NA,NA
23,263,19,38,8,109,1,0,1,2,0,white sox,97,jeff abbott,character(0),"Ht: 6'2""", 190 Ibs , R, L,8/17/72,"Atlanta, GA"
23,.279,89,244,33,68,14,11,12,41,3,white sox,98,jeff abbott,character(0),"Ht: 6'2""", 190 Ibs , R, L,8/17/72,"Atlanta, GA"
24,087,7,223,2,42,0,2,0,1,0,white sox,93,mark johnson,catcher,"Ht: 6'0""", 185ibs , L, A,9/12/75,"Wheatridge, CO "
25,155,29,58,7,9,0,00,1,7,1,dodgers,90,MOEN OIE,second base,NA,NA,NA,NA,NA,NA
25,.195,52,113,10,22,2,0,0,3,38,dodgers,91,MOEN OIE,second base,NA,NA,NA,NA,NA,NA
25,.260,149,534,67,139,20,8,1,30,23,dodgers,92,MOEN OIE,second base,NA,NA,NA,NA,NA,NA
25,.269,158,590,77,159,21,6,1,62,30,dodgers,93,MOEN OIE,second base,NA,NA,NA,NA,NA,NA
25,.210,72,243,27,51,8,4,1,2,2,dodgers,94,MOEN OIE,second base,NA,NA,NA,NA,NA,NA
25,.287,119,429,69,123,14,66,4,33,2,dodgers,95,MOEN OIE,second base,NA,NA,NA,NA,NA,NA
25,.303,151,561,85,170,33,8,5,47,24,royals,96,MOEN OIE,second base,NA,NA,NA,NA,NA,NA
25,.297,106,424,59,126,23,6,2,39,9,royals,97,MOEN OIE,second base,NA,NA,NA,NA,NA,NA
25,315,158,607,102,191,28,13,7,66,45,royals,98,MOEN OIE,second base,NA,NA,NA,NA,NA,NA
26,.184,44,103,14,19,4,0,17,1,7,brewers,88,darryl hamilton,outfield,"Ht: 6'1""", 192lbs , L, R,12/3/64,"Baton Rouge, LA "
26,.295,89,156,27,46,5,0,1,18,10,brewers,90,darryl hamilton,outfield,"Ht: 6'1""", 192lbs , L, R,12/3/64,"Baton Rouge, LA "
26,.311,122,405,64,126,15,66,1,057,16,brewers,91,darryl hamilton,outfield,"Ht: 6'1""", 192lbs , L, R,12/3/64,"Baton Rouge, LA "
26,.298,128,470,67,140,19,7,5,62,41,brewers,92,darryl hamilton,outfield,"Ht: 6'1""", 192lbs , L, R,12/3/64,"Baton Rouge, LA "
26,.310,135,520,74,161,21,41,9,48,21,brewers,93,darryl hamilton,outfield,"Ht: 6'1""", 192lbs , L, R,12/3/64,"Baton Rouge, LA "
26,.262,36,141,23,37,10,1,1,13,3,brewers,94,darryl hamilton,outfield,"Ht: 6'1""", 192lbs , L, R,12/3/64,"Baton Rouge, LA "
26,.271,112,398,54,108,20,6,5,44,11,brewers,95,darryl hamilton,outfield,"Ht: 6'1""", 192lbs , L, R,12/3/64,"Baton Rouge, LA "
26,.293,148,627,94,184,2,4,6,55,16,angels,96,darryl hamilton,outfield,"Ht: 6'1""", 192lbs , L, R,12/3/64,"Baton Rouge, LA "
26,.293,148,627,94,184,2,4,6,55,16,rangers,96,darryl hamilton,outfield,"Ht: 6'1""", 192lbs , L, R,12/3/64,"Baton Rouge, LA "
26,.270,125,460,78,124,23,3,5,43,15,giants,97,darryl hamilton,outfield,"Ht: 6'1""", 192lbs , L, R,12/3/64,"Baton Rouge, LA "
27,.242,51,165,11,40,66,3,2,1,7,braves,87,jeff blauser,shortstop,"Ht: 6'1""", 190 Ibs , R, R,11/8/65,"Los Gatos, CA"
27,.239,18,67,7,16,3,1,2,7,00,braves,88,jeff blauser,shortstop,"Ht: 6'1""", 190 Ibs , R, R,11/8/65,"Los Gatos, CA"
27,.270,142,456,63,123,24,2,12,4,5,braves,89,jeff blauser,shortstop,"Ht: 6'1""", 190 Ibs , R, R,11/8/65,"Los Gatos, CA"
27,.269,115,386,46,104,24,3,8,23,3,braves,90,jeff blauser,shortstop,"Ht: 6'1""", 190 Ibs , R, R,11/8/65,"Los Gatos, CA"
27,.259,129,352,49,91,14,3,11,54,5,braves,91,jeff blauser,shortstop,"Ht: 6'1""", 190 Ibs , R, R,11/8/65,"Los Gatos, CA"
27,.305,161,597,110,182,29,2,15,73,16,braves,93,jeff blauser,shortstop,"Ht: 6'1""", 190 Ibs , R, R,11/8/65,"Los Gatos, CA"
27,.258,96,380,56,98,21,4,6,4,1,braves,94,jeff blauser,shortstop,"Ht: 6'1""", 190 Ibs , R, R,11/8/65,"Los Gatos, CA"
27,.211,115,431,60,91,16,2,12,3,8,braves,95,jeff blauser,shortstop,"Ht: 6'1""", 190 Ibs , R, R,11/8/65,"Los Gatos, CA"
27,.245,83,265,48,65,14,1,10,3,6,braves,96,jeff blauser,shortstop,"Ht: 6'1""", 190 Ibs , R, R,11/8/65,"Los Gatos, CA"
27,.308,151,519,90,160,31,4,7,7,5,braves,97,jeff blauser,shortstop,"Ht: 6'1""", 190 Ibs , R, R,11/8/65,"Los Gatos, CA"
27,.219,119,361,49,79,11,3,4,2,2,cubs,98,jeff blauser,shortstop,"Ht: 6'1""", 190 Ibs , R, R,11/8/65,"Los Gatos, CA"
28,.105,11,19,0,2,0,0,0,0,1,marlins,93,carl everett,outfield,"Ht: 6'0""", 190lbs , B, R,6/3/71,"Tampa, FL "
28,.216,16,51,7,11,41,0,2,6,4,marlins,94,carl everett,outfield,"Ht: 6'0""", 190lbs , B, R,6/3/71,"Tampa, FL "
28,.260,79,289,48,7,13,1,12,84,2,reds,95,carl everett,outfield,"Ht: 6'0""", 190lbs , B, R,6/3/71,"Tampa, FL "
28,.260,79,289,48,7,13,1,12,84,2,mets,95,carl everett,outfield,"Ht: 6'0""", 190lbs , B, R,6/3/71,"Tampa, FL "
28,.240,101,192,29,46,8,1,1,1,66,reds,96,carl everett,outfield,"Ht: 6'0""", 190lbs , B, R,6/3/71,"Tampa, FL "
28,.240,101,192,29,46,8,1,1,1,66,mets,96,carl everett,outfield,"Ht: 6'0""", 190lbs , B, R,6/3/71,"Tampa, FL "
28,.248,142,443,58,110,28,3,14,0,17,reds,97,carl everett,outfield,"Ht: 6'0""", 190lbs , B, R,6/3/71,"Tampa, FL "
28,.248,142,443,58,110,28,3,14,0,17,mets,97,carl everett,outfield,"Ht: 6'0""", 190lbs , B, R,6/3/71,"Tampa, FL "
28,.296,133,467,72,138,34415,7614,4,NA,NA,astros,98,carl everett,outfield,"Ht: 6'0""", 190lbs , B, R,6/3/71,"Tampa, FL "
31,.238,40,42,4,10,2,0,0,3,1,dodgers,95,roger cedeno,outfield,"Ht: 6'1""", 205 Ibs , §, R,8/16/74,"Valencia, Venezuela"
31,.246,86,211,26,52,11,1,2,1,5,dodgers,96,roger cedeno,outfield,"Ht: 6'1""", 205 Ibs , §, R,8/16/74,"Valencia, Venezuela"
31,.273,80,194,31,53,10,2,39,17,9,dodgers,97,roger cedeno,outfield,"Ht: 6'1""", 205 Ibs , §, R,8/16/74,"Valencia, Venezuela"
31,.242,105,240,33,58,11,1,2,7,8,dodgers,98,roger cedeno,outfield,"Ht: 6'1""", 205 Ibs , §, R,8/16/74,"Valencia, Venezuela"
