id,W,L,ERA,G,GS,SV,IP,H,BB,K,team,year,name,position,HT,WT,Bats,Throws,DOB,Birth_location
21,1,1,564,8,3,0,221,27,10,172,rockies,94,curt leskanic,pitcher,"Ht: 6'0""", 186 Ibs , R, A,4/2/68,"Homestead, PA"
21,6,3,340,76,0,10,980,83,33,107,rockies,95,curt leskanic,pitcher,"Ht: 6'0""", 186 Ibs , R, A,4/2/68,"Homestead, PA"
21,7,5,623,70,0,6,732,82,38,76,rockies,96,curt leskanic,pitcher,"Ht: 6'0""", 186 Ibs , R, A,4/2/68,"Homestead, PA"
21,4,0,555,55,0,2,581,59,24,53,rockies,97,curt leskanic,pitcher,"Ht: 6'0""", 186 Ibs , R, A,4/2/68,"Homestead, PA"
29,8,9,627,31,20,1,1350,157,42,8,orioles,98,sidney ponson,pitcher,"Ht: 6'1""", 220ibs , R, R,11/2/76,"Noord, Aruba ee"
30,0,0,338,9,0,09,134,12,4,3,phillies,86,mike jackson,pitcher,NA,NA,NA,NA,NA,NA
30,3,10,420,55,7,1,1091,88,56,93,phillies,87,mike jackson,pitcher,NA,NA,NA,NA,NA,NA
30,6,5,263,62,0,4,991,74,43,76,mariners,88,mike jackson,pitcher,NA,NA,NA,NA,NA,NA
30,4,6,3.17,65,90,7,99.1,81,54,94,mariners,89,mike jackson,pitcher,NA,NA,NA,NA,NA,NA
30,5,7,454,63,0,3,771,64,44,69,mariners,90,mike jackson,pitcher,NA,NA,NA,NA,NA,NA
30,7,7,3.25,72,90,14,882,64,34,74,mariners,91,mike jackson,pitcher,NA,NA,NA,NA,NA,NA
30,6,6,373,67,90,2,820,76,33,80,giants,92,mike jackson,pitcher,NA,NA,NA,NA,NA,NA
30,6,6,303,81,0,1,771,58,24,70,giants,93,mike jackson,pitcher,NA,NA,NA,NA,NA,NA
30,3,2,149,35,0,4,421,23,11,5,giants,94,mike jackson,pitcher,NA,NA,NA,NA,NA,NA
30,6,1,239,40,0,2,490,38,19,41,reds,9,mike jackson,pitcher,NA,NA,NA,NA,NA,NA
30,6,1,239,40,0,2,490,38,19,41,mets,9,mike jackson,pitcher,NA,NA,NA,NA,NA,NA
30,1,1,363,73,90,6,72.0,61,2,0,mariners,96,mike jackson,pitcher,NA,NA,NA,NA,NA,NA
30,2,5,3.24,71,40,15,750,59,2,7,indians,97,mike jackson,pitcher,NA,NA,NA,NA,NA,NA
30,1,1,155,69,0,40,640,43,13,5,indians,98,mike jackson,pitcher,NA,NA,NA,NA,NA,NA
33,0,2,831,3,3,0,130,23,6,6,yankees,92,sterling hitchcock,pitcher,"Ht: 6'0""", 205 Ibs , L, L,4/29/71,"Fayetteville, NC "
33,1,2,465,6,6,0,310,32,14,25,yankees,93,sterling hitchcock,pitcher,"Ht: 6'0""", 205 Ibs , L, L,4/29/71,"Fayetteville, NC "
33,4,1,420,23,5,2,491,48,29,37,yankees,94,sterling hitchcock,pitcher,"Ht: 6'0""", 205 Ibs , L, L,4/29/71,"Fayetteville, NC "
33,11,10,4.70,27,27,0,168.1,155,68,121,yankees,95,sterling hitchcock,pitcher,"Ht: 6'0""", 205 Ibs , L, L,4/29/71,"Fayetteville, NC "
33,13,9,535,35,35,0,196.2,245,73,132,mariners,96,sterling hitchcock,pitcher,"Ht: 6'0""", 205 Ibs , L, L,4/29/71,"Fayetteville, NC "
33,10,11,520,32,28,0,161.0,172,55,106,padres,97,sterling hitchcock,pitcher,"Ht: 6'0""", 205 Ibs , L, L,4/29/71,"Fayetteville, NC "
33,9,7,393,39,27,1,176.1,169,48,158,padres,98,sterling hitchcock,pitcher,"Ht: 6'0""", 205 Ibs , L, L,4/29/71,"Fayetteville, NC "
35,10,3,299,23,23,0,138.2,98,66,123,blue jays,91,juan guzman,pitcher,"Ht: 5°71""", 195 Ibs , R, A,10/28/66,"Santo Domingo, B "
35,16,5,264,28,28,0,180.2,135,72,165,blue jays,92,juan guzman,pitcher,"Ht: 5°71""", 195 Ibs , R, A,10/28/66,"Santo Domingo, B "
35,14,3,399,33,33,0,221.0,211,110,194,blue jays,93,juan guzman,pitcher,"Ht: 5°71""", 195 Ibs , R, A,10/28/66,"Santo Domingo, B "
35,12,11,568,25,25,0,147.1,165,76,124,blue jays,94,juan guzman,pitcher,"Ht: 5°71""", 195 Ibs , R, A,10/28/66,"Santo Domingo, B "
35,4,14,632,24,24,0,135.1,151,73,94,blue jays,95,juan guzman,pitcher,"Ht: 5°71""", 195 Ibs , R, A,10/28/66,"Santo Domingo, B "
35,3,6,495,13,13,0,600,48,1,82,blue jays,97,juan guzman,pitcher,"Ht: 5°71""", 195 Ibs , R, A,10/28/66,"Santo Domingo, B "
41,1,4,914,6,5,0,212,34,12,10,royals,89,kevin appier,pitcher,NA,NA,NA,NA,NA,NA
41,12,8,276,32,24,0,185.2,179,54,127,royals,90,kevin appier,pitcher,NA,NA,NA,NA,NA,NA
41,13,10,342,34,31,0,207.2,205,61,158,royals,91,kevin appier,pitcher,NA,NA,NA,NA,NA,NA
41,15,8,246,30,30,0,2081,167,68,150,royals,92,kevin appier,pitcher,NA,NA,NA,NA,NA,NA
41,18,8,256,34,34,0,2382,183,81,186,royals,93,kevin appier,pitcher,NA,NA,NA,NA,NA,NA
41,7,6,3.83,23,23,0,155.0,137,63,145,royals,94,kevin appier,pitcher,NA,NA,NA,NA,NA,NA
41,15,10,389,31,31,0,2011,163,80,185,royals,95,kevin appier,pitcher,NA,NA,NA,NA,NA,NA
41,14,11,3.62,32,32,0,2111,192,75,207,royals,96,kevin appier,pitcher,NA,NA,NA,NA,NA,NA
41,9,13,340,34,34,0,235.2,215,74,196,royals,97,kevin appier,pitcher,NA,NA,NA,NA,NA,NA
41,1,2,7.80,3,3,0,150,21,5,9,royals,98,kevin appier,pitcher,NA,NA,NA,NA,NA,NA
43,2,4,554,9,9,0,501,55,33,20,braves,87,tom glavine,pitcher,NA,NA,NA,NA,NA,NA
43,7,17,456,34,34,0,1951,201,63,84,braves,88,tom glavine,pitcher,NA,NA,NA,NA,NA,NA
43,14,8,368,29,29,0,1860,172,40,90,braves,89,tom glavine,pitcher,NA,NA,NA,NA,NA,NA
43,10,12,428,33,33,0,2141,232,78,129,braves,90,tom glavine,pitcher,NA,NA,NA,NA,NA,NA
43,20,11,2.55,34,34,0,246.2,201,69,192,braves,91,tom glavine,pitcher,NA,NA,NA,NA,NA,NA
43,20,8,276,33,33,0,2260,197,70,129,braves,92,tom glavine,pitcher,NA,NA,NA,NA,NA,NA
43,22,6,320,36,36,0,2391,236,90,120,braves,93,tom glavine,pitcher,NA,NA,NA,NA,NA,NA
43,.,13,9,397,25,25,0,1651,173,70,braves,94,tom glavine,pitcher,NA,NA,NA,NA,NA,NA
43,16,7,3.08,29,29,0,1982,182,66,127,braves,95,tom glavine,pitcher,NA,NA,NA,NA,NA,NA
43,15,10,2.98,36,36,0,235.1,222,85,181,braves,96,tom glavine,pitcher,NA,NA,NA,NA,NA,NA
43,14,7,296,33,33,0,240.0,197,79,152,braves,97,tom glavine,pitcher,NA,NA,NA,NA,NA,NA
43,20,6,247,33,33,0,2291,202,74,157,braves,98,tom glavine,pitcher,NA,NA,NA,NA,NA,NA
46,0,1,606,4,1,0,161,21,10,11,indians,94,chad ogea,pitcher,"Ht: 6'2""", 220 Ibs , R, R,11/9/70,"Lake Charles, LA "
46,8,3,305,20,14,0,1061,95,2,57,indians,95,chad ogea,pitcher,"Ht: 6'2""", 220 Ibs , R, R,11/9/70,"Lake Charles, LA "
46,10,6,479,29,21,0,1462,151,42,101,indians,96,chad ogea,pitcher,"Ht: 6'2""", 220 Ibs , R, R,11/9/70,"Lake Charles, LA "
46,8,9,499,21,21,0,126.1,139,47,80,indians,97,chad ogea,pitcher,"Ht: 6'2""", 220 Ibs , R, R,11/9/70,"Lake Charles, LA "
46,5,4,561,19,9,0,690,74,2,3,indians,98,chad ogea,pitcher,"Ht: 6'2""", 220 Ibs , R, R,11/9/70,"Lake Charles, LA "
51,4,2,488,9,9,00,480,42,24,34,brewers,98,rafael roque,pitcher,NA,NA,NA,NA,NA,NA
52,4,4,323,10,8,0,552,62,16,21,brewers,83,tom candiotti,pitcher,NA,NA,NA,NA,NA,NA
52,2,2,529,8,6,0,321,38,10,23,brewers,84,tom candiotti,pitcher,NA,NA,NA,NA,NA,NA
52,16,12,3.57,36,34,0,252.1,234,106,167,indians,86,tom candiotti,pitcher,NA,NA,NA,NA,NA,NA
52,7,18,478,32,32,0,2012,193,93,111,indians,87,tom candiotti,pitcher,NA,NA,NA,NA,NA,NA
52,14,8,328,31,31,0,216.2,225,53,137,indians,8,tom candiotti,pitcher,NA,NA,NA,NA,NA,NA
52,13,10,3.10,31,31,0,2060,188,55,124,indians,89,tom candiotti,pitcher,NA,NA,NA,NA,NA,NA
52,15,11,365,31,29,0,2020,207,55,128,indians,90,tom candiotti,pitcher,NA,NA,NA,NA,NA,NA
52,11,15,300,32,30,0,2032,177,63,152,dodgers,92,tom candiotti,pitcher,NA,NA,NA,NA,NA,NA
52,8,10,3.12,33,32,0,2132,192,71,155,dodgers,93,tom candiotti,pitcher,NA,NA,NA,NA,NA,NA
52,7,7,442,23,22,0,163.0,149,54,102,dodgers,94,tom candiotti,pitcher,NA,NA,NA,NA,NA,NA
52,7,14,350,30,30,0,1901,187,558,141,dodgers,95,tom candiotti,pitcher,NA,NA,NA,NA,NA,NA
52,9,11,449,28,27,00,162.1,172,43,79,dodgers,96,tom candiotti,pitcher,NA,NA,NA,NA,NA,NA
52,10,7,360,41,18,0,135.0,128,40,89,dodgers,97,tom candiotti,pitcher,NA,NA,NA,NA,NA,NA
52,11,16,4.84,33,33,09,201.0,222,63,98,athletics,98,tom candiotti,pitcher,NA,NA,NA,NA,NA,NA
54,7,1,191,69,NA,NA,NA,NA,NA,NA,athletics,99,dennis eckersley,pitcher,"Ht: 6'2""", 195, R, R,10/3/54,"Oakland, Calif   |"
54,5,475,45,19,441,49043,47,NA,NA,NA,athletics,94,dennis eckersley,pitcher,"Ht: 6'2""", 195, R, R,10/3/54,"Oakland, Calif   |"
54,4,416,1,392,4,22,0,5,NA,NA,red sox,88,dennis eckersley,pitcher,"Ht: 6'2""", 195, R, R,10/3/54,"Oakland, Calif   |"
54,4,416,1,392,4,22,0,5,NA,NA,reds,88,dennis eckersley,pitcher,"Ht: 6'2""", 195, R, R,10/3/54,"Oakland, Calif   |"
57,1,5,600,8,8,00,420,41,19,26,phillies,91,andy ashby,pitcher,"Ht: 6'5""", 190, R, R,7/11/87,"Kansas City, Mo"
57,1,3,754,10,8,00,37.0,42,21,24,phillies,92,andy ashby,pitcher,"Ht: 6'5""", 190, R, R,7/11/87,"Kansas City, Mo"
57,6,11,340,24,24,0,164.1,145,43,121,padres,94,andy ashby,pitcher,"Ht: 6'5""", 190, R, R,7/11/87,"Kansas City, Mo"
57,12,10,294,31,31,0,1922,180,62,180,padres,95,andy ashby,pitcher,"Ht: 6'5""", 190, R, R,7/11/87,"Kansas City, Mo"
57,9,5,323,24,24,09,1502,147,34,8,padres,96,andy ashby,pitcher,"Ht: 6'5""", 190, R, R,7/11/87,"Kansas City, Mo"
57,9,11,413,30,30,0,2002,207,49,144,padres,97,andy ashby,pitcher,"Ht: 6'5""", 190, R, R,7/11/87,"Kansas City, Mo"
57,17,9,3.34,33,33,0,226.2,223,58,161,padres,98,andy ashby,pitcher,"Ht: 6'5""", 190, R, R,7/11/87,"Kansas City, Mo"
63,0,0,180,1,1,0,50,3,4,2,marlins,96,andy larkin,pitcher,Ht: 6’4”, 190, R, R,6/27/74,"Chelan, Wash  |"
63,3,8,964,17,14,09,742,101,55,43,marlins,98,andy larkin,pitcher,Ht: 6’4”, 190, R, R,6/27/74,"Chelan, Wash  |"
65,3,0,295,4,3,0,211,22,8,1,cardinals,98,jose jimenez,pitcher,"Ht: 6'3""", 190 Ibs , R, R,7/7/73,"San Pedro de Macoris, D "
70,0,1,473,12,0,0,131,12,13,15,marlins,95,matt mantei,pitcher,Ht: 61”, 190 Ibs, R, R,7/7/73,"Tampa, FL "
70,1,0,6.38,14,0,0,181,13,21,25,marlins,96,matt mantei,pitcher,Ht: 61”, 190 Ibs, R, R,7/7/73,"Tampa, FL "
70,3,4,296,42,0,9,542,38,23,63,marlins,98,matt mantei,pitcher,Ht: 61”, 190 Ibs, R, R,7/7/73,"Tampa, FL "
73,0,1,226,2,0,80,46,1,8,05,dodgers,92,pedro martinez,pitcher,"Ht: 5°11""", 170lbs , A, R,10/25/71,"Manoguayabo, D "
73,10,5,261,6,2,2,1070,76,57,119,dodgers,93,pedro martinez,pitcher,"Ht: 5°11""", 170lbs , A, R,10/25/71,"Manoguayabo, D "
73,11,5,9.42,24,23,1,1442,115,45,142,expos,94,pedro martinez,pitcher,"Ht: 5°11""", 170lbs , A, R,10/25/71,"Manoguayabo, D "
73,14,10,351,30,30,0,1942,158,66,174,expos,95,pedro martinez,pitcher,"Ht: 5°11""", 170lbs , A, R,10/25/71,"Manoguayabo, D "
73,13,10,3.70,33,33,0,2162,189,70,222,expos,96,pedro martinez,pitcher,"Ht: 5°11""", 170lbs , A, R,10/25/71,"Manoguayabo, D "
73,17,8,190,31,31,0,241.1,158,67,305,expos,97,pedro martinez,pitcher,"Ht: 5°11""", 170lbs , A, R,10/25/71,"Manoguayabo, D "
73,19,7,289,33,33,0,2332,188,67,251,red sox,8,pedro martinez,pitcher,"Ht: 5°11""", 170lbs , A, R,10/25/71,"Manoguayabo, D "
73,19,7,289,33,33,0,2332,188,67,251,reds,8,pedro martinez,pitcher,"Ht: 5°11""", 170lbs , A, R,10/25/71,"Manoguayabo, D "
75,3,1,3.18,21,1,0,28.1,21,10,28,dodgers,94,ISMREL URALDES,pitcher,"Ht: 6'3""", 215 Ibs , R, R,8/21/73,"Victoria, Mexico fi Wiese"
75,13,11,3.05,33,27,1,197.2,168,51,150,dodgers,95,ISMREL URALDES,pitcher,"Ht: 6'3""", 215 Ibs , R, R,8/21/73,"Victoria, Mexico fi Wiese"
75,15,7,3.32,33,33,0,225.0,219,54,173,dodgers,96,ISMREL URALDES,pitcher,"Ht: 6'3""", 215 Ibs , R, R,8/21/73,"Victoria, Mexico fi Wiese"
75,10,11,265,30,30,0,196.2,171,47,140,dodgers,97,ISMREL URALDES,pitcher,"Ht: 6'3""", 215 Ibs , R, R,8/21/73,"Victoria, Mexico fi Wiese"
75,11,10,3.98,27,27,0,174.0,171,66,122,dodgers,98,ISMREL URALDES,pitcher,"Ht: 6'3""", 215 Ibs , R, R,8/21/73,"Victoria, Mexico fi Wiese"
78,0,1,6,4,06,5,NA,NA,NA,NA,phillies,83,scott service,pitcher,"Ht: 6°6""", 230 Ibs , R, R,2/26/67,"Cincinnati, OH"
78,0,0,141445,0,0,70,15,5,11,6,expos,92,scott service,pitcher,"Ht: 6°6""", 230 Ibs , R, R,2/26/67,"Cincinnati, OH"
78,6,4,348,73,0,4,822,70,34,5,royals,8,scott service,pitcher,"Ht: 6°6""", 230 Ibs , R, R,2/26/67,"Cincinnati, OH"
79,14,12,356,32,32,0,202.0,195,65,152,devil rays,98,rolando arrojo,pitcher,"Ht: 6'4""", 215 Ibs , R, R,7/18/68,"Havana, Cuba nanan"
87,1,6,458,11,11,0,590,62,31,44,tigers,96,justin thompson,pitcher,"Ht: 84""", 245 Ibs , L, L,3/8/73,"San Antonio, TX "
87,15,11,302,32,32,0,2231,188,66,151,tigers,97,justin thompson,pitcher,"Ht: 84""", 245 Ibs , L, L,3/8/73,"San Antonio, TX "
87,11,15,405,34,34,90,2220,227,79,149,tigers,98,justin thompson,pitcher,"Ht: 84""", 245 Ibs , L, L,3/8/73,"San Antonio, TX "
98,12,12,392,29,29,0,181.1,190,74,115,angels,89,5,pitcher,"Ht: 63""", 210lbs , L, L,9/19/67,"Flint, MI"
98,12,12,392,29,29,0,181.1,190,74,115,rangers,89,5,pitcher,"Ht: 63""", 210lbs , L, L,9/19/67,"Flint, MI"
98,10,14,451,33,33,09,2112,246,72,105,angels,90,5,pitcher,"Ht: 63""", 210lbs , L, L,9/19/67,"Flint, MI"
98,10,14,451,33,33,09,2112,246,72,105,rangers,90,5,pitcher,"Ht: 63""", 210lbs , L, L,9/19/67,"Flint, MI"
98,18,11,289,934,34,0,2430,222,73,158,angels,91,5,pitcher,"Ht: 63""", 210lbs , L, L,9/19/67,"Flint, MI"
98,18,11,289,934,34,0,2430,222,73,158,rangers,91,5,pitcher,"Ht: 63""", 210lbs , L, L,9/19/67,"Flint, MI"
98,7,15,277,29,29,09,211.0,208,68,130,angels,92,5,pitcher,"Ht: 63""", 210lbs , L, L,9/19/67,"Flint, MI"
98,7,15,277,29,29,09,211.0,208,68,130,rangers,92,5,pitcher,"Ht: 63""", 210lbs , L, L,9/19/67,"Flint, MI"
98,11,14,437,32,32,0,2140,221,73,95,yankees,93,5,pitcher,"Ht: 63""", 210lbs , L, L,9/19/67,"Flint, MI"
98,9,8,455,24,24,09,160.1,167,64,90,yankees,94,5,pitcher,"Ht: 63""", 210lbs , L, L,9/19/67,"Flint, MI"
98,2,18,7.48,27,23,09,1420,58,.,NA,angels,96,5,pitcher,"Ht: 63""", 210lbs , L, L,9/19/67,"Flint, MI"
98,2,18,7.48,27,23,09,1420,58,.,NA,rangers,96,5,pitcher,"Ht: 63""", 210lbs , L, L,9/19/67,"Flint, MI"
98,6,0,455,5,5,0,312,214,NA,NA,white sox,98,5,pitcher,"Ht: 63""", 210lbs , L, L,9/19/67,"Flint, MI"
105,2,4,591,9,8,0,452,58,21,6,indians,90,charles nagy,pitcher,"Ht: 8°83""", 200Ibs , L, R,5/5/67,"Fairfield, CT "
105,10,15,413,33,33,90,211.1,228,66,109,indians,91,charles nagy,pitcher,"Ht: 8°83""", 200Ibs , L, R,5/5/67,"Fairfield, CT "
105,17,10,296,33,33,0,252.0,245,57,169,indians,92,charles nagy,pitcher,"Ht: 8°83""", 200Ibs , L, R,5/5/67,"Fairfield, CT "
105,2,6,629,9,9,0,482,66,13,30,indians,93,charles nagy,pitcher,"Ht: 8°83""", 200Ibs , L, R,5/5/67,"Fairfield, CT "
105,10,8,49.45,23,23,0,169.1,175,48,108,indians,94,charles nagy,pitcher,"Ht: 8°83""", 200Ibs , L, R,5/5/67,"Fairfield, CT "
105,16,6,455,29,29,0,1780,194,61,139,indians,95,charles nagy,pitcher,"Ht: 8°83""", 200Ibs , L, R,5/5/67,"Fairfield, CT "
105,17,5,341,32,32,0,2220,217,61,167,indians,96,charles nagy,pitcher,"Ht: 8°83""", 200Ibs , L, R,5/5/67,"Fairfield, CT "
105,15,11,428,34,34,09,227.0,253,77,149,indians,97,charles nagy,pitcher,"Ht: 8°83""", 200Ibs , L, R,5/5/67,"Fairfield, CT "
105,15,10,522,33,33,0,210.1,250,66,120,indians,98,charles nagy,pitcher,"Ht: 8°83""", 200Ibs , L, R,5/5/67,"Fairfield, CT "
110,0,0,579,4,0,0,591,13,3,7,orioles,96,esteban yan,pitcher,Ht: 6'4”, 220lbs , R, R,6/22/74,"Campina Del Sol, D "
110,0,1,1582,3,2,0,92,20,7,4,orioles,97,esteban yan,pitcher,Ht: 6'4”, 220lbs , R, R,6/22/74,"Campina Del Sol, D "
110,5,4,3.86,64,0,1,882,78,41,77,devil rays,98,esteban yan,pitcher,Ht: 6'4”, 220lbs , R, R,6/22/74,"Campina Del Sol, D "
111,1,0,360,1,1,0,50,6,4,NA,angels,86,kevin brown,pitcher,"Ht: 6'4""", 200lbs , R, R,2/14/65,"Mcintyre, GA "
111,1,0,360,1,1,0,50,6,4,NA,rangers,86,kevin brown,pitcher,"Ht: 6'4""", 200lbs , R, R,2/14/65,"Mcintyre, GA "
111,1,1,424,4,4,9,231,33,8,12,angels,88,kevin brown,pitcher,"Ht: 6'4""", 200lbs , R, R,2/14/65,"Mcintyre, GA "
111,1,1,424,4,4,9,231,33,8,12,rangers,88,kevin brown,pitcher,"Ht: 6'4""", 200lbs , R, R,2/14/65,"Mcintyre, GA "
111,12,9,3.35,28,28,09,191.0,167,70,104,angels,80,kevin brown,pitcher,"Ht: 6'4""", 200lbs , R, R,2/14/65,"Mcintyre, GA "
111,12,9,3.35,28,28,09,191.0,167,70,104,rangers,80,kevin brown,pitcher,"Ht: 6'4""", 200lbs , R, R,2/14/65,"Mcintyre, GA "
111,12,10,3.60,26,26,0,180.0,175,60,88,angels,90,kevin brown,pitcher,"Ht: 6'4""", 200lbs , R, R,2/14/65,"Mcintyre, GA "
111,12,10,3.60,26,26,0,180.0,175,60,88,rangers,90,kevin brown,pitcher,"Ht: 6'4""", 200lbs , R, R,2/14/65,"Mcintyre, GA "
111,15,12,359,34,34,0,2330,228,74,142,angels,93,kevin brown,pitcher,"Ht: 6'4""", 200lbs , R, R,2/14/65,"Mcintyre, GA "
111,15,12,359,34,34,0,2330,228,74,142,rangers,93,kevin brown,pitcher,"Ht: 6'4""", 200lbs , R, R,2/14/65,"Mcintyre, GA "
111,7,9,482,26,2,0,1700,218,50,123,angels,94,kevin brown,pitcher,"Ht: 6'4""", 200lbs , R, R,2/14/65,"Mcintyre, GA "
111,7,9,482,26,2,0,1700,218,50,123,rangers,94,kevin brown,pitcher,"Ht: 6'4""", 200lbs , R, R,2/14/65,"Mcintyre, GA "
111,10,9,360,26,26,0,1721,155,48,117,orioles,95,kevin brown,pitcher,"Ht: 6'4""", 200lbs , R, R,2/14/65,"Mcintyre, GA "
111,17,11,1.89,32,32,0,1721,187,33,159,marlins,96,kevin brown,pitcher,"Ht: 6'4""", 200lbs , R, R,2/14/65,"Mcintyre, GA "
111,16,8,269,33,33,0,237.1,214,66,205,marlins,97,kevin brown,pitcher,"Ht: 6'4""", 200lbs , R, R,2/14/65,"Mcintyre, GA "
111,18,7,2.98,3635,0257.0,225,49257,6,NA,NA,padres,8,kevin brown,pitcher,"Ht: 6'4""", 200lbs , R, R,2/14/65,"Mcintyre, GA "
113,2,1,345,62,0,1,622,53,30,34,cubs,91,heathcliff slocumb,pitcher,"Ht: 53""", 220lbs , R, R,6/7/66,"Jamaica, NY"
113,0,3,650,30,1,30,2,2227,65.,NA,cubs,92,heathcliff slocumb,pitcher,"Ht: 53""", 220lbs , R, R,6/7/66,"Jamaica, NY"
113,5,1,286,6,0,0,721,75,28,458,phillies,94,heathcliff slocumb,pitcher,"Ht: 53""", 220lbs , R, R,6/7/66,"Jamaica, NY"
113,5,6,2.89,61,0,32,651,64,235,63,phillies,95,heathcliff slocumb,pitcher,"Ht: 53""", 220lbs , R, R,6/7/66,"Jamaica, NY"
113,65,5,302,75,0,31,83.1,68,55,88,red sox,96,heathcliff slocumb,pitcher,"Ht: 53""", 220lbs , R, R,6/7/66,"Jamaica, NY"
113,65,5,302,75,0,31,83.1,68,55,88,reds,96,heathcliff slocumb,pitcher,"Ht: 53""", 220lbs , R, R,6/7/66,"Jamaica, NY"
